age_group,invited,registered,date
18-30,16,143,2021-03-02
30-40,44,246,2021-03-02
40-50,59,305,2021-03-02
50-60,295,316,2021-03-02
60-75,391,391,2021-03-02
75-,151,151,2021-03-02
-18,0,19,2021-03-03
18-30,20,147,2021-03-03
30-40,27,204,2021-03-03
40-50,56,276,2021-03-03
50-60,269,290,2021-03-03
60-75,402,403,2021-03-03
75-,118,118,2021-03-03
-18,0,25,2021-03-04
18-30,30,208,2021-03-04
30-40,53,300,2021-03-04
40-50,58,344,2021-03-04
50-60,317,337,2021-03-04
60-75,475,475,2021-03-04
75-,154,154,2021-03-04
-18,0,35,2021-03-05
18-30,35,235,2021-03-05
30-40,49,321,2021-03-05
40-50,87,422,2021-03-05
50-60,423,467,2021-03-05
60-75,721,721,2021-03-05
75-,205,205,2021-03-05
-18,0,13,2021-03-06
18-30,14,106,2021-03-06
30-40,29,162,2021-03-06
40-50,51,239,2021-03-06
50-60,332,351,2021-03-06
60-75,557,558,2021-03-06
75-,161,161,2021-03-06
-18,0,10,2021-03-07
18-30,12,105,2021-03-07
30-40,22,139,2021-03-07
40-50,29,161,2021-03-07
50-60,230,249,2021-03-07
60-75,409,409,2021-03-07
75-,129,129,2021-03-07
-18,0,25,2021-03-08
18-30,33,215,2021-03-08
30-40,57,309,2021-03-08
40-50,101,362,2021-03-08
50-60,434,479,2021-03-08
60-75,611,611,2021-03-08
75-,164,164,2021-03-08
-18,0,81,2021-03-09
18-30,74,531,2021-03-09
30-40,116,657,2021-03-09
40-50,124,590,2021-03-09
50-60,592,635,2021-03-09
60-75,895,895,2021-03-09
75-,285,285,2021-03-09
-18,0,99,2021-03-10
18-30,100,808,2021-03-10
30-40,159,1073,2021-03-10
40-50,186,770,2021-03-10
50-60,731,785,2021-03-10
60-75,1125,1125,2021-03-10
75-,355,355,2021-03-10
-18,0,45,2021-03-11
18-30,136,512,2021-03-11
30-40,555,1083,2021-03-11
40-50,642,1163,2021-03-11
50-60,1129,1187,2021-03-11
60-75,1127,1128,2021-03-11
75-,364,364,2021-03-11
-18,0,90,2021-03-12
18-30,154,925,2021-03-12
30-40,257,1374,2021-03-12
40-50,358,1255,2021-03-12
50-60,1264,1380,2021-03-12
60-75,1663,1663,2021-03-12
75-,518,518,2021-03-12
-18,0,148,2021-03-13
18-30,1033,2289,2021-03-13
30-40,2940,4531,2021-03-13
40-50,2539,4086,2021-03-13
50-60,3723,3893,2021-03-13
60-75,3035,3037,2021-03-13
75-,797,797,2021-03-13
-18,0,75,2021-03-14
18-30,315,986,2021-03-14
30-40,362,1193,2021-03-14
40-50,341,1146,2021-03-14
50-60,1248,1333,2021-03-14
60-75,1573,1574,2021-03-14
75-,498,498,2021-03-14
-18,0,98,2021-03-15
18-30,366,1290,2021-03-15
30-40,642,1816,2021-03-15
40-50,627,1656,2021-03-15
50-60,1567,1662,2021-03-15
60-75,1731,1731,2021-03-15
75-,544,544,2021-03-15
-18,0,63,2021-03-16
18-30,350,1005,2021-03-16
30-40,421,1133,2021-03-16
40-50,386,1095,2021-03-16
50-60,1042,1102,2021-03-16
60-75,1305,1305,2021-03-16
75-,411,411,2021-03-16
-18,0,99,2021-03-17
18-30,407,1728,2021-03-17
30-40,509,2398,2021-03-17
40-50,583,2051,2021-03-17
50-60,1870,2021,2021-03-17
60-75,1731,1732,2021-03-17
75-,425,425,2021-03-17
